coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
107;2.4635;-2.138;-0.5597;0.9615;-0.8019;
108;-1.3779;-1.3104;0.723;0.8356;-0.8906;
109;-2.1677;0.8136;-2.0018;-0.171;-1.7846;
110;0.9187;-1.1878;0.0769;-1.086;-0.5155;
111;0.8688;1.3075;-0.4802;-0.3993;-0.1007;
112;-1.2716;0.3922;0.5695;0.4403;0.1925;
113;1.2057;-0.2623;1.0503;0.6284;-0.4494;
114;2.6257;3.7091;-0.6995;-0.3157;-0.2246;
115;1.8798;-0.1199;-0.5275;1.201;-0.8864;
116;1.554;1.123;0.677;0.3537;-0.716;
117;1.3119;-0.9605;-0.0196;-1.2147;0.2285;
118;0.4409;2.1287;0.0537;0.0191;0.4001;
119;-0.8629;-0.1591;0.2274;-0.3336;1.2012;
120;2.1932;-1.0812;2.0553;0.8838;-0.8847;
121;-1.2716;0.3922;0.5695;0.4403;0.1925;
122;-1.3104;-0.3645;0.2101;-0.0561;0.2804;
123;-0.0892;-0.3968;-2.6204;0.3398;1.0826;
124;0.0975;-1.1182;-0.9136;-0.4544;-0.5024;
125;-1.743;-0.0498;-1.654;0.0195;-1.4615;
126;1.2875;0.1314;0.0287;1.0438;0.3831;
127;0.1503;0.7568;0.0601;0.1746;1.075;
128;-2.8383;0.4844;1.6525;0.2713;1.5003;
129;-1.2716;0.3922;0.5695;0.4403;0.1925;
130;-1.4912;1.0897;-0.3989;-0.7168;-2.3049;
131;-0.5342;0.1995;-0.6971;-0.7492;-0.487;
132;-0.8049;0.3278;0.3951;0.5183;-0.3963;
133;1.3896;0.553;0.6993;-0.2219;0.0527;
134;-3.6602;-0.6917;1.0053;0.0619;0.3316;
135;-0.4021;-0.6473;0.2529;1.5175;-1.9243;
136;0.4908;2.0342;1.5271;0.7803;0.3904;
137;1.0005;-0.7941;-0.9447;-0.6706;0.317;
138;-0.3594;0.66;-0.0054;0.262;0.9998;
139;-1.2716;0.3922;0.5695;0.4403;0.1925;
140;0.9741;1.0926;-2.5542;1.361;0.3813;
141;-2.6942;-1.7423;-0.1987;-0.0505;-1.6155;
142;-2.9241;1.0124;0.5984;-0.3498;1.0528;
143;-1.2716;0.3922;0.5695;0.4403;0.1925;
144;0.4907;-0.8909;-1.0101;-0.5832;0.2417;
145;-4.181;0.0627;-0.1742;-0.1155;0.1782;
146;-0.3693;-1.0537;-0.7392;-0.5324;0.0864;
147;-0.243;0.5295;0.1567;0.3034;0.331;
148;2.1751;-1.4341;-3.0352;1.7605;1.1962;
149;-0.121;-0.4738;-0.6242;-1.2138;-0.7323;
150;1.487;-2.1703;-0.4507;0.9709;-0.2884;
151;-0.0714;-1.0418;0.3147;-1.4237;1.2639;
152;-4.181;0.0627;-0.1742;-0.1155;0.1782;
153;-1.2716;0.3922;0.5695;0.4403;0.1925;
154;1.3896;0.553;0.6993;-0.2219;0.0527;
155;-1.481;0.9803;0.3151;-0.2812;-0.0494;
156;1.5236;1.0517;-0.6262;0.0659;1.5372;
157;0.569;-0.4193;0.5689;1.6177;1.5588;
158;-1.6431;-1.5305;2.4933;0.4601;-1.4507;
159;-1.6903;1.5683;0.0607;-1.0028;-0.2913;
160;-2.4163;-0.3493;0.8195;-0.2734;-2.51;
161;3.2818;1.2996;-0.9643;-2.2794;-0.3945;
162;-1.2716;0.3922;0.5695;0.4403;0.1925;
163;0.7034;1.2209;-1.462;2.6285;0.4721;
164;2.4081;0.647;0.6755;-2.3277;1.2816;
165;-2.748;-0.4239;0.4304;-0.1164;1.139;
166;0.8165;-1.6094;-0.5937;0.1797;-0.1852;
167;2.1622;0.4138;1.5129;-0.6964;-0.3808;
168;0.9963;0.3257;0.7958;-0.0931;-0.6913;
169;-0.7047;1.5443;-0.5921;-0.9743;-0.8168;
170;1.6378;0.7218;1.3132;0.996;0.2068;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.6665;0.0003;0.2371;0.0651;0.0226;
2;0.7485;0.0104;0.0518;0.0587;0;
3;0.1993;0.5272;0.0056;0.0321;0.0304;
4;0.68;0.0647;0.1364;0.0815;0.0156;
5;0.0892;0.4603;0.0581;0.0289;0.2815;
6;0.2331;0.344;0.0143;0.0241;0.1465;
7;0.5807;0.0005;0.0236;0.2712;0.0011;
8;0.3384;0.1118;0.005;0.0912;0.0391;
9;0.6101;0.2716;0.0268;0.0545;0.0105;
10;0.2081;0;0.0848;0.3178;0.0002;
11;0.406;0.2176;0.0001;0.3481;0.0123;
12;0.6173;0.1776;0.039;0.021;0.0473;
13;0.2566;0.5811;0.0784;0.0542;0.0034;
14;0.4387;0.4545;0.0105;0.0461;0.0419;
15;0.7424;0.0368;0.0003;0.0049;0.0294;
16;0.313;0.1616;0.0111;0.1358;0.2426;
17;0.68;0.0647;0.1364;0.0815;0.0156;
18;0.926;0.0008;0.0599;0.0013;0.0012;
19;0.409;0.0284;0.1115;0.2793;0.0042;
20;0.0952;0.4164;0.0286;0.0259;0.0416;
21;0.784;0.0348;0.0397;0.0006;0.025;
22;0.0768;0.3096;0.0128;0.0255;0.0957;
23;0.6423;0.2814;0.0291;0.0232;0.0007;
24;0.68;0.0647;0.1364;0.0815;0.0156;
25;0.4387;0.4545;0.0105;0.0461;0.0419;
26;0.2604;0.0585;0.1875;0.4221;0.0087;
27;0.8797;0.0094;0.0788;0.0138;0.0069;
28;0.1666;0.0185;0.2557;0.0001;0.2287;
29;0.2091;0.1076;0.0084;0.0754;0.3841;
30;0.1824;0.2738;0.09;0.0128;0.0387;
31;0.5337;0.1374;0.0004;0.0498;0.0142;
32;0.0794;0.1484;0.1653;0.1562;0.2286;
33;0.5352;0.0289;0.094;0.0355;0.2557;
34;0.68;0.0647;0.1364;0.0815;0.0156;
35;0.0836;0.4262;0.0014;0.0087;0.0567;
36;0.317;0.0426;0.1356;0.4035;0.0635;
37;0.1716;0.7027;0.0014;0.0381;0.0335;
38;0.257;0.0013;0.4518;0.0664;0.0118;
39;0.051;0.345;0.0126;0.3609;0.2112;
40;0.0234;0.203;0.0689;0.1609;0.3093;
41;0.008;0.018;0.1891;0.58;0.056;
42;0.4017;0.0023;0.3495;0.0203;0.0087;
43;0.4339;0.0004;0.0184;0.0186;0.021;
44;0.4298;0.3278;0.1507;0.0055;0.0413;
45;0.0038;0.5474;0.1083;0.1807;0.0295;
46;0.5004;0.0586;0.0336;0.3344;0.0033;
47;0.7189;0.0164;0.0455;0.2033;0.0078;
48;0.1156;0.5157;0.1347;0.0045;0.0551;
49;0.1078;0.3652;0.0005;0.0308;0.0031;
50;0.68;0.0647;0.1364;0.0815;0.0156;
51;0.4661;0.0001;0.1903;0.0115;0.2973;
52;0.5685;0.1687;0.0001;0.0307;0.0761;
53;0.7895;0.0013;0;0.0735;0.0121;
54;0.1229;0.0004;0.6574;0.0096;0.018;
55;0.8843;0.0141;0.0108;0.0134;0.0116;
56;0.4753;0.0352;0.0014;0.1051;0.0002;
57;0.6665;0.0003;0.2371;0.0651;0.0226;
58;0.2202;0.3681;0.0015;0.3078;0.0694;
59;0.09;0.0337;0.0069;0.0753;0.3541;
60;0.68;0.0647;0.1364;0.0815;0.0156;
61;0.4387;0.4545;0.0105;0.0461;0.0419;
62;0.0025;0.0241;0.3065;0.2165;0.3247;
63;0.3632;0.3395;0.0516;0.2321;0.0093;
64;0.2992;0.1885;0.2668;0.1344;0.03;
65;0.5634;0.0059;0.0003;0.3703;0.0499;
66;0.7017;0.003;0.0416;0.0042;0.1488;
67;0.1388;0.4047;0.0015;0.0212;0.0031;
68;0.0435;0.0057;0.1125;0.4612;0.0556;
69;0.5832;0.0027;0.1484;0.0024;0.0333;
70;0.285;0.0139;0.0799;0.2282;0.0685;
71;0.6665;0.0003;0.2371;0.0651;0.0226;
72;0.0273;0.1779;0.0012;0.0799;0.0001;
73;0.1823;0.0084;0.2162;0.0641;0.188;
74;0.257;0.0013;0.4518;0.0664;0.0118;
75;0.68;0.0647;0.1364;0.0815;0.0156;
76;0.3154;0.0036;0.0062;0.5424;0.0514;
77;0.68;0.0647;0.1364;0.0815;0.0156;
78;0.0531;0.1321;0.0003;0.1325;0.005;
79;0.3679;0.0546;0.1357;0.0292;0.0322;
80;0.6565;0.296;0.0049;0.0069;0.0016;
81;0.2257;0.0787;0.3309;0.1399;0.0497;
82;0.68;0.0647;0.1364;0.0815;0.0156;
83;0.0108;0.4487;0.0899;0.1487;0.2453;
84;0.68;0.0647;0.1364;0.0815;0.0156;
85;0.5634;0.0059;0.0003;0.3703;0.0499;
86;0.6665;0.0003;0.2371;0.0651;0.0226;
87;0.4387;0.4545;0.0105;0.0461;0.0419;
88;0.4422;0.2563;0.0979;0.0353;0.0002;
89;0.0119;0.2643;0.021;0.0872;0.2125;
90;0.0948;0.1716;0.0014;0.0512;0.4361;
91;0.2107;0.3198;0.0182;0.0623;0.0001;
92;0.174;0.286;0.0012;0.0278;0.248;
93;0.1255;0.355;0.2448;0.0999;0.0621;
94;0.1808;0.605;0.0218;0.0121;0.0492;
95;0.0119;0.2643;0.021;0.0872;0.2125;
96;0.0545;0.0268;0.0643;0.499;0.0132;
97;0.3422;0.4047;0.0478;0.0164;0.0903;
98;0.0672;0.3881;0.0221;0.3278;0.0294;
99;0.0026;0.0015;0.8523;0.0085;0.0058;
100;0.334;0.4359;0.1087;0.0006;0.0713;
101;0.9034;0.059;0.0002;0.0196;0.0175;
102;0.9448;0.001;0.0184;0.01;0.0006;
103;0.5129;0.1083;0.0388;0.0168;0.112;
104;0.4872;0.4226;0.0047;0;0.0123;
105;0.68;0.0647;0.1364;0.0815;0.0156;
106;0.68;0.0647;0.1364;0.0815;0.0156;
107;0.4283;0.3226;0.0221;0.0653;0.0454;
108;0.2198;0.1988;0.0605;0.0808;0.0918;
109;0.2582;0.0364;0.2201;0.0016;0.175;
110;0.2202;0.3681;0.0015;0.3078;0.0694;
111;0.2566;0.5811;0.0784;0.0542;0.0034;
112;0.68;0.0647;0.1364;0.0815;0.0156;
113;0.424;0.0201;0.3217;0.1152;0.0589;
114;0.3082;0.6151;0.0219;0.0045;0.0023;
115;0.4818;0.002;0.0379;0.1967;0.1071;
116;0.3368;0.1759;0.0639;0.0175;0.0715;
117;0.406;0.2176;0.0001;0.3481;0.0123;
118;0.0359;0.8378;0.0005;0.0001;0.0296;
119;0.0795;0.0027;0.0055;0.0119;0.1541;
120;0.3864;0.0939;0.3393;0.0627;0.0629;
121;0.68;0.0647;0.1364;0.0815;0.0156;
122;0.8113;0.0628;0.0208;0.0015;0.0371;
123;0.0008;0.0156;0.6788;0.0114;0.1159;
124;0.0034;0.4469;0.2983;0.0738;0.0902;
125;0.2396;0.0002;0.2158;0;0.1685;
126;0.5634;0.0059;0.0003;0.3703;0.0499;
127;0.0102;0.2578;0.0016;0.0137;0.5201;
128;0.3853;0.0112;0.1306;0.0035;0.1076;
129;0.68;0.0647;0.1364;0.0815;0.0156;
130;0.2036;0.1087;0.0146;0.047;0.4864;
131;0.1293;0.018;0.2202;0.2544;0.1075;
132;0.3035;0.0503;0.0731;0.1258;0.0735;
133;0.6898;0.1093;0.1747;0.0176;0.001;
134;0.8838;0.0316;0.0667;0.0003;0.0073;
135;0.0209;0.0541;0.0083;0.2976;0.4785;
136;0.0259;0.4444;0.2505;0.0654;0.0164;
137;0.2992;0.1885;0.2668;0.1344;0.03;
138;0.0621;0.2093;0;0.033;0.4803;
139;0.68;0.0647;0.1364;0.0815;0.0156;
140;0.0864;0.1087;0.5938;0.1686;0.0132;
141;0.4447;0.186;0.0024;0.0002;0.1599;
142;0.6228;0.0747;0.0261;0.0089;0.0807;
143;0.68;0.0647;0.1364;0.0815;0.0156;
144;0.0752;0.2477;0.3184;0.1061;0.0182;
145;0.9672;0.0002;0.0017;0.0007;0.0018;
146;0.0448;0.3652;0.1797;0.0932;0.0025;
147;0.0325;0.1545;0.0135;0.0507;0.0604;
148;0.2224;0.0967;0.433;0.1457;0.0672;
149;0.0031;0.048;0.0833;0.3149;0.1146;
150;0.2384;0.5078;0.0219;0.1016;0.009;
151;0.0005;0.0964;0.0088;0.1801;0.1419;
152;0.9672;0.0002;0.0017;0.0007;0.0018;
153;0.68;0.0647;0.1364;0.0815;0.0156;
154;0.6898;0.1093;0.1747;0.0176;0.001;
155;0.6423;0.2814;0.0291;0.0232;0.0007;
156;0.3241;0.1544;0.0548;0.0006;0.3299;
157;0.0508;0.0276;0.0508;0.4109;0.3816;
158;0.1308;0.1135;0.3012;0.0103;0.102;
159;0.4379;0.377;0.0006;0.1541;0.013;
160;0.3015;0.0063;0.0347;0.0039;0.3254;
161;0.5734;0.0899;0.0495;0.2766;0.0083;
162;0.68;0.0647;0.1364;0.0815;0.0156;
163;0.0423;0.1275;0.1828;0.5909;0.0191;
164;0.3829;0.0276;0.0301;0.3578;0.1085;
165;0.7906;0.0188;0.0194;0.0014;0.1358;
166;0.1677;0.6517;0.0887;0.0081;0.0086;
167;0.5401;0.0198;0.2644;0.056;0.0168;
168;0.415;0.0444;0.2648;0.0036;0.1998;
169;0.089;0.4276;0.0628;0.1702;0.1196;
170;0.4427;0.086;0.2846;0.1637;0.0071;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.4651;0.0006;0.6074;0.1891;0.0794;
2;3.972;0.1566;1.0087;1.2974;0;
3;0.1861;1.3962;0.0192;0.1248;0.1428;
4;0.2941;0.0794;0.2166;0.1469;0.0339;
5;0.0411;0.6018;0.0983;0.0554;0.6526;
6;0.6991;2.9253;0.1574;0.3005;2.2081;
7;1.5653;0.0038;0.2332;3.0452;0.015;
8;0.1031;0.0966;0.0056;0.1157;0.0598;
9;0.2114;0.267;0.034;0.0787;0.0182;
10;0.5285;0.0003;0.7906;3.362;0.0022;
11;0.3131;0.4758;0.0003;1.118;0.0477;
