coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
149;0.0027;0.1158;0.2602;1.1163;0.4903;
150;0.4022;2.4296;0.1357;0.7143;0.0761;
151;0.0009;0.5598;0.0662;1.5358;1.4607;
152;3.1799;0.002;0.0203;0.0101;0.029;
153;0.2941;0.0794;0.2166;0.1469;0.0339;
154;0.3513;0.1578;0.3266;0.0373;0.0025;
155;0.399;0.4956;0.0663;0.0599;0.0022;
156;0.4223;0.5704;0.2619;0.0033;2.1608;
157;0.0589;0.0907;0.2162;1.9827;2.222;
158;0.4911;1.2083;4.1511;0.1604;1.9243;
159;0.5197;1.2686;0.0025;0.7619;0.0776;
160;1.0621;0.0629;0.4485;0.0566;5.761;
161;1.9592;0.8711;0.6209;3.9368;0.1423;
162;0.2941;0.0794;0.2166;0.1469;0.0339;
163;0.09;0.7688;1.4274;5.235;0.2038;
164;1.0548;0.2159;0.3047;4.1054;1.5019;
165;1.3737;0.0927;0.1237;0.0103;1.1862;
166;0.1213;1.336;0.2354;0.0245;0.0314;
167;0.8504;0.0883;1.5285;0.3675;0.1326;
168;0.1806;0.0547;0.423;0.0066;0.437;
169;0.0903;1.2301;0.2341;0.7193;0.6101;
170;0.4879;0.2687;1.1515;0.7517;0.0391;

dist
1.958494;5.401263;2.266002;1.542015;1.592154;4.060411;3.849527;1.293915;1.380336;3.736543;2.058885;2.479041;1.715201;2.296866;2.756561;1.224078;1.542015;4.427015;1.565097;1.623905;2.972066;1.819967;1.847808;1.542015;2.296866;2.037324;4.765314;2.299481;1.709849;5.290588;3.709204;1.894244;2.913716;1.542015;3.104298;4.965333;3.397589;2.130562;2.557048;1.813261;4.339657;4.653113;3.736791;1.779739;2.431222;2.203244;1.593061;2.059363;1.89167;1.542015;5.323929;3.150783;2.803008;3.289168;5.807781;3.806031;1.958494;1.957561;2.108869;1.542015;2.296866;1.46043;1.958494;1.828994;1.715201;4.950445;2.730176;1.799597;1.972162;5.54651;1.958494;1.319587;3.33196;2.130562;1.542015;1.592154;1.542015;1.265102;2.562033;3.921316;2.476517;1.542015;2.346036;1.542015;1.715201;1.958494;2.296866;2.853439;3.069224;3.235053;1.934934;1.465698;1.714135;2.871327;3.069224;2.786152;2.8818;2.001972;3.302864;2.093276;4.333774;2.34607e-14;3.371231;4.438118;1.542015;1.542015;3.764025;2.939234;4.266407;1.957561;1.715201;1.542015;1.851686;4.729382;2.708222;2.677686;2.058885;2.32563;3.060332;3.528344;1.542015;1.454833;3.180451;1.672552;3.560832;1.715201;1.490638;4.572682;1.542015;3.30496;1.485459;1.461119;1.673056;3.893445;2.781955;3.051404;1.828994;1.442628;1.542015;3.314601;4.040193;3.705348;1.542015;1.790082;4.251267;1.743667;1.347235;4.612826;2.16297;3.045728;3.355143;4.251267;1.542015;1.673056;1.847808;2.676265;2.523558;4.543078;2.554242;4.400228;4.333774;1.542015;3.419462;3.891389;3.090553;1.993701;2.942163;1.546659;2.361697;2.461585;
